id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
18674,Huge flat for 8 people close to Sagrada Familia,71615,Mireia And Maria,Eixample,la Sagrada Família,41.40556,2.17262,Entire home/apt,121,1,21,2019-10-11,0.23,19,58,0,HUTB-002062
23197,Forum CCIB DeLuxe★Spacious &Elegant★Large Balcony,90417,Etain (Marnie),Sant Martí,el Besòs i el Maresme,41.41291,2.22063,Entire home/apt,229,4,52,2019-12-15,0.75,2,128,0,HUTB-005057
32711,Sagrada Familia area - Còrsega 1,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40566,2.17015,Entire home/apt,144,2,63,2019-09-06,0.61,3,44,0,HUTB-001722
34981,VIDRE HOME PLAZA REAL on LAS RAMBLAS,73163,Andres,Ciutat Vella,el Barri Gòtic,41.37978,2.17623,Entire home/apt,189,4,154,2020-03-11,1.54,2,156,5,HUTB-001506
35379,Double 04 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39161,2.15075,Private room,41,2,358,2021-07-21,4.06,4,163,45,Exempt
35388,Single 01 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39082,2.15242,Private room,31,2,309,2019-10-01,3.49,4,163,56,
35390,Single 02 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39047,2.15263,Private room,31,2,310,2021-07-29,3.61,4,163,39,Exempt
35392,Double 03 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39013,2.15231,Private room,46,2,260,2020-03-14,3.36,4,163,29,Exempt
36763,In front of the beach,158596,Ester,Ciutat Vella,la Barceloneta,41.38043,2.19094,Private room,36,2,79,2019-08-21,1.30,1,246,6,
40983,Classical loft close to pedrera!,177617,Joaquin,Eixample,la Dreta de l'Eixample,41.39631,2.16832,Entire home/apt,59,2,185,2019-12-07,1.53,6,99,25,HUTB-001282
46153,CHIC SANT PERE ★NO SHARING ★GREAT LOCATION ★,90417,Etain (Marnie),Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38866,2.17839,Entire home/apt,30,128,3,2021-04-30,0.02,2,227,1,Exempt
49968,Sagrada Familia area - Còrsega 2,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4057,2.17016,Entire home/apt,146,2,43,2019-08-18,0.75,3,131,1,HUTB-001723
61444,Bright apartment - Rambla Catalunya (HUTB-005863),297545,Anil,Eixample,la Dreta de l'Eixample,41.3897,2.16396,Entire home/apt,135,2,54,2020-03-01,0.66,4,240,3,HUTB-005863
71520,Charming apartment with fantastic views!,366428,Ariadna,Gràcia,Vallcarca i els Penitents,41.41841,2.13307,Entire home/apt,250,5,1,2011-06-23,0.01,1,363,0,HUTB-007966
71553,Unique  Promotion   penthouse by Sagrada Familia,366654,Watermen Barcelona Apartments,Eixample,la Dreta de l'Eixample,41.39705,2.17469,Entire home/apt,100,2,58,2017-05-08,0.69,3,34,9,HUTB-002424
72436,Lugaris Beach Business Apartment,375625,Xavier,Sant Martí,el Poblenou,41.39909,2.20733,Entire home/apt,162,1,440,2021-09-03,6.44,6,141,122,HUTB-000173
73455,RAMBLAS FAMILY APARTMENT,383697,Anna,Ciutat Vella,el Raval,41.38551,2.16665,Entire home/apt,148,2,122,2021-08-02,1.53,8,347,5,HUTB-001779
73683,Sagrada Familia area for 12 people,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40554,2.17017,Entire home/apt,309,2,164,2019-07-26,1.75,3,70,0,HUTB-001722
73693,Huge family apt with patio: Central (HUTB-005825),297545,Anil,Sants-Montjuïc,el Poble Sec,41.37315,2.1665,Entire home/apt,143,2,49,2020-01-03,0.72,4,280,0,hutb-005825
73700,Centrally located budget apartment (HUTB-005832),297545,Anil,Sants-Montjuïc,el Poble Sec,41.37325,2.16049,Entire home/apt,95,2,89,2019-11-10,0.81,4,244,5,hutb-005832
75003,130. Hércules Pequeño 41,396363,Alcambarcelona,Eixample,la Sagrada Família,41.40399,2.17802,Entire home/apt,139,2,21,2019-05-17,0.61,98,342,1,HUTB-001363
75411,Sagrada Familia Clot Patio - Wifi/Private/Clean,400154,Mireia,Sant Martí,el Clot,41.40682,2.18649,Entire home/apt,115,3,36,2019-03-18,0.31,9,211,6,HUTB-000083
80004,Parc Montjuic HUTB-004026 58,431839,Xavier,Sants-Montjuïc,el Poble Sec,41.37371,2.16706,Entire home/apt,130,4,129,2019-10-06,1.06,1,110,2,HUTB-004026
83283,★PLAZA ©ATALUÑA ®oom x2 + private bath®oom+wifi,700165,Wonderful Barcelona,Eixample,Sant Antoni,41.38237,2.16146,Private room,40,3,107,2019-03-17,0.85,4,84,0,
89756,"bcn-rentals apartment nº 1, just 10 min to Ramblas",488117,David Y Maria,Ciutat Vella,el Raval,41.37861,2.16737,Entire home/apt,256,6,17,2016-11-29,0.20,6,315,1,HUTB-013579
89776,Modernist flat Downtown Casa Estapé | Barcelona,488151,Pols,Eixample,la Dreta de l'Eixample,41.39224,2.17806,Entire home/apt,120,3,336,2020-02-11,2.94,1,299,0,HUTB-002215
95719,Lovely room  in the heart of Barcelona with A/C,509260,Dalila,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38496,2.17982,Private room,60,4,234,2019-10-20,2.35,2,359,2,
97529,CENTRAL  FURNISHED 1 ENSUITE BEDROOM APARTMENT,497450,Francesc,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40913,2.16503,Entire home/apt,35,32,65,2015-05-05,0.63,1,222,1,
107437,Beautiful villa surrounded  of forest in Barcelona,556626,Cristina,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",41.42864,2.09159,Entire home/apt,213,3,69,2020-03-15,1.21,2,241,7,HUTB-009025
110041,002. Alió 2 Apartment,396363,Alcambarcelona,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40271,2.16646,Entire home/apt,129,2,29,2018-12-03,0.79,98,333,4,HUTB-003671
