"","date","Baró de Viver","Can Baró","Can Peguera","Ciutat Meridiana","Diagonal Mar i el Front Marítim del Poblenou","el Baix Guinardó","el Barri Gòtic","el Besòs i el Maresme","el Bon Pastor","el Camp d'en Grassot i Gràcia Nova","el Camp de l'Arpa del Clot","el Carmel","el Clot","el Coll","el Congrés i els Indians","el Fort Pienc","el Guinardó","el Parc i la Llacuna del Poblenou","el Poble Sec","el Poblenou","el Putxet i el Farró","el Raval","el Turó de la Peira","Horta","Hostafrancs","l'Antiga Esquerra de l'Eixample","la Barceloneta","la Bordeta","la Dreta de l'Eixample","la Font d'en Fargues","la Font de la Guatlla","la Guineueta","la Marina de Port","la Marina del Prat Vermell","la Maternitat i Sant Ramon","la Nova Esquerra de l'Eixample","la Prosperitat","la Sagrada Família","la Sagrera","la Salut","la Teixonera","la Trinitat Nova","la Trinitat Vella","la Vall d'Hebron","la Verneda i la Pau","la Vila de Gràcia","la Vila Olímpica del Poblenou","les Corts","les Roquetes","les Tres Torres","Montbau","Navas","Pedralbes","Porta","Provençals del Poblenou","Sant Andreu","Sant Antoni","Sant Genís dels Agudells","Sant Gervasi - Galvany","Sant Gervasi - la Bonanova","Sant Martí de Provençals","Sant Pere, Santa Caterina i la Ribera","Sants","Sants - Badal","Sarrià","Torre Baró","Vallcarca i els Penitents","Vallvidrera, el Tibidabo i les Planes","Verdun","Vilapicina i la Torre Llobeta"
"1","2015-01-01",0,2,0,0,11,2,51,5,0,21,12,0,4,4,1,32,7,28,119,34,10,44,1,0,7,70,7,3,222,0,7,0,1,0,14,50,1,100,2,5,0,0,0,0,1,98,11,15,0,2,0,0,0,1,1,1,73,0,12,0,0,37,25,16,2,0,5,0,0,1
"2","2015-02-01",0,2,0,0,8,3,49,3,0,22,7,0,6,6,0,28,3,26,109,27,4,33,0,0,2,57,7,3,215,0,4,0,3,0,27,34,0,104,1,1,2,0,0,0,1,90,11,14,0,0,0,0,2,0,3,0,79,0,14,1,2,65,41,12,1,0,5,0,0,1
"3","2015-03-01",0,8,0,0,17,6,80,16,0,54,10,1,8,11,2,46,7,50,194,62,22,92,1,0,20,125,18,4,340,0,15,0,6,2,45,80,0,197,4,7,4,0,0,0,2,182,28,19,0,1,0,1,1,0,1,3,135,0,32,1,6,86,48,26,4,0,6,5,0,1
"4","2015-04-01",0,5,0,0,25,12,103,23,0,60,9,5,10,10,5,79,11,61,255,89,27,140,1,0,20,167,21,5,444,0,16,0,5,1,46,94,3,213,1,22,5,0,0,0,4,250,27,31,0,2,0,1,3,0,9,4,179,0,32,4,3,103,70,25,5,0,6,4,0,4
"5","2015-05-01",0,16,0,0,35,10,98,23,0,80,26,2,13,12,2,101,19,71,332,130,32,202,3,0,28,207,14,8,513,0,27,0,5,4,57,145,3,279,5,20,2,0,0,0,8,278,60,34,0,4,0,2,5,1,10,6,219,0,53,3,9,115,87,27,4,0,17,7,0,5
"6","2015-06-01",0,9,0,2,33,7,140,24,1,77,31,4,16,10,6,103,28,65,345,145,35,179,1,1,30,216,25,12,514,0,23,3,2,4,46,139,2,284,4,32,3,0,0,0,7,302,45,35,0,4,0,4,2,2,10,4,222,0,49,8,10,143,78,31,5,0,16,3,0,5
"7","2015-07-01",0,11,1,4,15,16,123,29,3,74,39,3,16,12,1,90,29,80,349,119,29,199,1,1,30,221,37,19,515,0,20,4,3,4,44,124,4,265,6,21,5,0,0,0,4,298,46,26,0,4,0,5,4,6,20,9,188,0,52,4,9,144,85,25,11,0,15,1,0,5
"8","2015-08-01",0,22,0,4,24,25,113,27,4,61,39,6,18,11,3,90,39,98,325,116,37,211,0,3,33,230,39,14,517,0,24,1,5,1,53,133,3,258,2,16,8,0,0,0,12,265,28,30,0,8,0,6,2,5,22,5,188,0,53,9,12,157,87,34,8,0,13,0,1,9
"9","2015-09-01",0,15,1,3,37,23,131,28,1,72,24,3,14,13,4,84,36,81,357,128,37,198,4,3,30,218,33,10,556,0,19,3,3,7,46,135,1,306,4,27,3,0,0,0,8,272,61,31,0,1,0,3,3,5,13,3,207,0,62,4,10,146,82,25,7,0,13,2,2,8
"10","2015-10-01",0,11,1,3,26,33,139,27,0,87,26,13,14,4,4,113,38,82,395,118,41,208,9,1,40,217,38,10,587,0,24,1,8,4,50,133,2,304,1,27,10,0,0,0,10,310,69,33,0,3,0,3,4,4,20,3,240,1,65,5,13,164,96,43,10,0,12,3,1,5
"11","2015-11-01",0,5,0,1,17,9,70,21,0,56,11,9,1,9,1,61,11,41,240,71,30,115,9,2,13,144,20,2,346,1,7,2,2,3,20,69,0,216,0,13,6,0,0,0,5,168,31,15,0,2,0,1,1,1,8,1,155,0,28,5,1,104,65,27,3,0,6,0,0,1
"12","2015-12-01",0,3,0,0,14,4,69,22,0,38,7,10,2,7,0,48,7,30,175,49,11,91,3,1,9,101,21,8,310,0,3,1,1,3,25,44,0,167,1,3,3,0,0,0,4,145,11,13,0,1,0,1,2,0,3,0,114,0,24,3,1,78,54,19,6,0,7,1,0,1
"13","2016-01-01",0,4,0,0,27,7,87,17,0,48,20,7,6,9,1,56,19,53,187,66,19,143,5,0,11,129,24,2,381,0,9,0,2,3,36,74,2,205,1,10,2,0,0,0,6,170,15,25,0,0,0,2,3,0,4,1,143,0,22,2,3,95,67,24,5,0,9,2,0,3
"14","2016-02-01",0,6,1,0,21,13,112,21,0,56,16,4,13,9,1,73,27,72,255,70,27,166,6,2,17,183,39,6,400,0,14,3,3,1,33,93,2,262,0,18,2,0,0,0,3,206,36,27,0,2,0,1,4,3,6,2,176,0,37,2,1,132,81,29,7,0,6,2,3,1
"15","2016-03-01",0,7,1,0,25,16,134,20,1,70,17,8,11,9,0,88,30,69,315,82,21,153,4,2,22,198,43,6,459,0,17,0,5,2,35,94,3,286,0,19,3,1,0,0,6,245,36,20,0,1,0,1,3,2,5,2,222,0,47,2,4,144,94,31,7,0,10,2,3,1
"16","2016-04-01",0,18,0,0,40,24,175,30,0,96,31,14,23,7,3,146,41,100,444,126,47,261,12,5,35,296,42,14,631,0,28,3,12,5,45,157,2,389,1,33,5,5,0,0,8,379,62,72,0,7,0,5,11,8,16,12,276,0,84,2,9,170,138,38,8,0,25,6,6,3
"17","2016-05-01",0,14,0,0,62,30,195,32,0,112,36,15,24,16,5,212,66,95,522,189,45,318,20,7,36,349,59,18,733,0,30,2,13,3,69,206,9,449,5,31,12,1,0,0,11,485,90,60,1,7,0,12,11,10,21,17,314,3,78,11,16,218,180,56,7,0,24,8,5,4
"18","2016-06-01",0,16,2,0,73,33,229,33,1,127,45,15,26,14,7,161,58,97,491,151,57,310,14,6,38,295,60,20,717,0,33,3,13,4,45,237,13,468,2,34,13,3,0,1,12,503,82,50,0,12,0,7,17,5,27,15,321,3,89,8,26,239,151,53,12,0,22,4,6,14
"19","2016-07-01",0,21,0,0,69,45,217,29,0,131,48,20,34,8,3,197,67,114,499,163,66,306,9,8,46,341,66,18,780,0,40,3,13,3,56,243,12,466,4,28,13,1,0,1,12,536,81,61,0,6,0,15,19,5,25,21,322,1,105,9,22,223,152,49,8,0,25,8,2,4
"20","2016-08-01",0,28,0,0,68,55,250,36,0,111,54,17,36,15,8,185,65,97,486,152,75,307,12,10,47,353,71,23,736,0,32,2,19,2,67,266,11,434,2,35,9,2,0,1,8,520,60,53,0,12,0,21,16,8,28,14,356,4,94,18,23,247,156,48,7,0,32,8,4,5
"21","2016-09-01",0,18,0,0,58,52,267,26,1,120,56,11,36,18,9,195,66,110,527,191,65,326,12,2,45,365,54,22,785,1,31,3,12,2,70,199,6,462,2,36,7,1,0,6,7,507,71,62,1,12,0,7,24,6,19,20,333,3,94,11,14,270,181,47,13,0,11,11,4,8
"22","2016-10-01",0,23,0,0,77,45,289,33,1,128,41,18,34,13,6,201,72,109,608,216,58,338,11,7,47,414,65,22,900,0,26,4,24,3,83,243,10,498,5,34,11,0,0,1,8,544,83,58,2,7,0,10,21,9,28,21,393,6,88,4,22,312,180,53,17,0,28,7,3,8
"23","2016-11-01",0,8,0,0,51,26,204,28,0,82,34,7,14,12,4,146,36,75,387,78,24,201,7,1,42,263,49,13,642,0,12,1,10,4,42,117,7,359,2,21,4,0,0,0,2,309,50,28,0,2,0,1,12,1,9,8,268,2,44,3,3,195,105,30,4,0,18,5,3,2
"24","2016-12-01",0,9,0,0,46,13,164,18,1,61,23,5,8,6,2,113,29,62,279,83,18,158,2,0,24,198,30,9,451,0,7,3,6,3,52,92,6,354,3,19,2,3,0,0,4,238,25,30,0,4,0,1,4,4,7,7,215,0,35,5,5,138,97,25,6,0,7,3,4,2
"25","2017-01-01",0,10,0,0,39,19,202,22,1,65,22,8,20,11,2,132,29,58,312,89,22,188,8,3,28,231,31,5,543,0,11,3,9,5,47,101,5,367,2,12,4,2,0,0,2,277,45,42,0,9,0,3,6,3,8,6,229,1,40,2,5,178,100,34,7,0,11,5,2,2
"26","2017-02-01",0,9,1,0,43,12,209,20,1,65,22,4,13,15,4,116,34,77,288,77,33,199,4,1,43,244,37,3,537,1,12,2,7,2,52,83,4,379,0,19,5,0,0,1,5,270,41,30,0,6,0,3,3,5,6,9,243,0,58,3,6,192,99,27,6,0,12,1,3,7
"27","2017-03-01",0,20,0,0,81,38,288,37,1,127,48,4,35,14,1,188,65,106,564,128,62,289,11,8,69,341,62,14,775,0,27,2,17,6,64,217,5,573,6,30,3,3,0,1,12,451,73,54,0,6,0,6,14,5,17,11,400,2,81,4,10,236,178,38,11,0,12,9,5,4
