"year","month","neighbourhood","num_reviews","date"
"2015","01","Can Baró",2,2015-01-01
"2015","01","Diagonal Mar i el Front Marítim del Poblenou",11,2015-01-01
"2015","01","el Baix Guinardó",2,2015-01-01
"2015","01","el Barri Gòtic",51,2015-01-01
"2015","01","el Besòs i el Maresme",5,2015-01-01
"2015","01","el Camp d'en Grassot i Gràcia Nova",21,2015-01-01
"2015","01","el Camp de l'Arpa del Clot",12,2015-01-01
"2015","01","el Clot",4,2015-01-01
"2015","01","el Coll",4,2015-01-01
"2015","01","el Congrés i els Indians",1,2015-01-01
"2015","01","el Fort Pienc",32,2015-01-01
"2015","01","el Guinardó",7,2015-01-01
"2015","01","el Parc i la Llacuna del Poblenou",28,2015-01-01
"2015","01","el Poble Sec",119,2015-01-01
"2015","01","el Poblenou",34,2015-01-01
"2015","01","el Putxet i el Farró",10,2015-01-01
"2015","01","el Raval",44,2015-01-01
"2015","01","el Turó de la Peira",1,2015-01-01
"2015","01","Hostafrancs",7,2015-01-01
"2015","01","l'Antiga Esquerra de l'Eixample",70,2015-01-01
"2015","01","la Barceloneta",7,2015-01-01
"2015","01","la Bordeta",3,2015-01-01
"2015","01","la Dreta de l'Eixample",222,2015-01-01
"2015","01","la Font de la Guatlla",7,2015-01-01
"2015","01","la Marina de Port",1,2015-01-01
"2015","01","la Maternitat i Sant Ramon",14,2015-01-01
"2015","01","la Nova Esquerra de l'Eixample",50,2015-01-01
"2015","01","la Prosperitat",1,2015-01-01
"2015","01","la Sagrada Família",100,2015-01-01
"2015","01","la Sagrera",2,2015-01-01
"2015","01","la Salut",5,2015-01-01
"2015","01","la Verneda i la Pau",1,2015-01-01
"2015","01","la Vila de Gràcia",98,2015-01-01
"2015","01","la Vila Olímpica del Poblenou",11,2015-01-01
"2015","01","les Corts",15,2015-01-01
"2015","01","les Tres Torres",2,2015-01-01
"2015","01","Porta",1,2015-01-01
"2015","01","Provençals del Poblenou",1,2015-01-01
"2015","01","Sant Andreu",1,2015-01-01
"2015","01","Sant Antoni",73,2015-01-01
"2015","01","Sant Gervasi - Galvany",12,2015-01-01
"2015","01","Sant Pere, Santa Caterina i la Ribera",37,2015-01-01
"2015","01","Sants",25,2015-01-01
"2015","01","Sants - Badal",16,2015-01-01
"2015","01","Sarrià",2,2015-01-01
"2015","01","Vallcarca i els Penitents",5,2015-01-01
"2015","01","Vilapicina i la Torre Llobeta",1,2015-01-01
"2015","02","Can Baró",2,2015-02-01
"2015","02","Diagonal Mar i el Front Marítim del Poblenou",8,2015-02-01
"2015","02","el Baix Guinardó",3,2015-02-01
"2015","02","el Barri Gòtic",49,2015-02-01
"2015","02","el Besòs i el Maresme",3,2015-02-01
